source_problem,source_num_steps,A_verifier_uncertainty_bits,verifier_uncertainty_bound_bits,verifier_uncertainty_bound_fraction,A_verifier_variance,verifier_variance_bound,verifier_variance_bound_fraction,verifier_uncertainty_start_bits,verifier_uncertainty_final_bits,verifier_uncertainty_delta_bits,verifier_variance_start,verifier_variance_final,verifier_variance_delta,action_entropy_start_per_token_nats,action_entropy_final_per_token_nats,action_entropy_shrink_per_token_nats,action_entropy_start_seq_nats,action_entropy_final_seq_nats,action_entropy_shrink_seq_nats,action_entropy_cumulative_per_token_nats,correct_action_entropy_start_per_token_nats,correct_action_entropy_final_per_token_nats,correct_action_entropy_shrink_per_token_nats,correct_action_entropy_start_step,correct_action_entropy_final_step,correct_action_entropy_start_seq_nats,correct_action_entropy_final_seq_nats,correct_action_entropy_shrink_seq_nats,incorrect_action_entropy_start_per_token_nats,incorrect_action_entropy_final_per_token_nats,incorrect_action_entropy_shrink_per_token_nats,source_p_start,source_p_final,source_p_max,verifier_sharpness_final,self_delta_p_common,mean_delta_p_common_offdiag,mean_positive_delta_p_common_offdiag
3626,16,8.479304616924503,16.0,0.5299565385577815,1.7578125,4.0,0.439453125,0.7578784625383954,0.8112781244591328,-0.05339966192073742,0.1708984375,0.1875,-0.0166015625,0.1363702353555709,0.1265174439176917,0.009852791437879205,62.98504954576492,59.021485686302185,3.963563859462738,2.0619565477827564,0.11992768517562322,0.10443775448948145,0.015489930686141767,1,16,53.65451158796038,53.82011604309082,-0.16560445513044186,0.14097414940595626,0.13387734039376178,0.007096809012194477,0.21875,0.25,0.25,0.18872187554086717,0.1265625,-0.000500801282051285,0.014623397435897419
3689,16,14.488545789713076,16.0,0.9055341118570672,3.4951171875,4.0,0.873779296875,0.9886994082884974,0.8571484374283715,0.1315509708601259,0.24609375,0.2021484375,0.0439453125,0.12694369861856103,0.11828973051160574,0.00865396810695529,60.75209665298462,59.31442928314209,1.4376673698425293,2.014925935305655,0.13146114562238967,0.11782319228286328,0.013637953339526387,1,16,59.73623085021973,58.33758146866508,1.3986493815546481,0.12343012872669432,0.11948199487394756,0.003948133852746755,0.4375,0.71875,0.78125,0.14285156257162845,0.1976562499999999,0.027323717948717945,0.04370993589743588
4250,16,0.0,16.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.204504118533805,0.19638926489278674,0.008114853641018271,110.22421419620514,102.249436378479,7.974777817726135,3.155770637560636,,,,0,0,,,,0.204504118533805,0.19638926489278674,0.008114853641018271,0.0,0.0,0.0,1.0,0.0,0.014763621794871784,0.02185496794871793
4444,16,9.710136586306184,16.0,0.6068835366441365,2.09765625,4.0,0.5244140625,0.2006223243127146,0.8112781244591328,-0.6106558001464182,0.0302734375,0.1875,-0.1572265625,0.1671424286905676,0.18297684495337307,-0.015834416262805462,110.902761220932,129.50952887535095,-18.606767654418945,2.962131295935251,0.2822301983833313,0.17882922384887934,0.10340097453445196,1,16,136.3171844482422,113.67349052429199,22.643693923950195,0.16342991999080103,0.18435938532153764,-0.020929465330736613,0.03125,0.25,0.25,0.18872187554086717,0.13203125,0.023397435897435887,0.03495592948717947
4998,16,0.0,16.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23867099406197667,0.28698735660873353,-0.048316362546756864,173.08883023262024,200.94071793556213,-27.851887702941895,4.055888239876367,,,,0,0,,,,0.23867099406197667,0.28698735660873353,-0.048316362546756864,0.0,0.0,0.0,1.0,0.0,-0.010076121794871796,0.015284455128205122
549,16,7.579893500309592,16.0,0.4737433437693495,1.509765625,4.0,0.37744140625,0.2006223243127146,0.5435644431995964,-0.3429421188868818,0.0302734375,0.109375,-0.0791015625,0.15804205293534324,0.15175612934399396,0.006285923591349274,124.45630872249603,115.36326217651367,9.09304654598236,2.380743149900809,0.2798251509666443,0.1895004715770483,0.09032467938959599,1,16,111.37041473388672,105.96606826782227,5.404346466064453,0.15411356590207545,0.14636408045355762,0.007749485448517834,0.03125,0.125,0.1875,0.4564355568004036,0.0765625,0.020012019230769226,0.028605769230769216
5809,16,15.167754688681734,16.0,0.9479846680426084,3.7197265625,4.0,0.929931640625,0.9744894033980523,1.0,-0.025510596601947655,0.2412109375,0.25,-0.0087890625,0.11043228511698544,0.11152121832128614,-0.0010889332043007016,86.0781751871109,75.36056673526764,10.717608451843262,1.7298286451259628,0.09765828056977345,0.10881511145271361,-0.011156830882940158,1,16,64.64654599703275,74.30568933486938,-9.659143337836639,0.11917239349139364,0.11422732518985868,0.004945068301534961,0.40625,0.5,0.625,0.0,0.078125,-0.007271634615384617,0.013721955128205125
5944,16,0.2006223243127146,16.0,0.012538895269544662,0.0302734375,4.0,0.007568359375,0.0,0.0,0.0,0.0,0.0,0.0,0.3475880017504096,0.38485495233908296,-0.03726695058867335,284.552996635437,298.5741982460022,-14.021201610565186,5.246058431803249,0.3656975328922272,0.3656975328922272,0.0,3,3,367.1603088378906,367.1603088378906,0.0,0.3475880017504096,0.38485495233908296,-0.03726695058867335,0.0,0.0,0.03125,1.0,0.0,-0.018088942307692306,0.012640224358974354
6067,16,5.651279957664812,16.0,0.35320499735405075,1.0458984375,4.0,0.261474609375,0.5435644431995964,0.4488644887230294,0.09469995447656698,0.109375,0.0849609375,0.0244140625,0.13228278676979244,0.12215719744563103,0.01012558932416141,108.72021865844727,114.03742170333862,-5.317203044891357,2.047805422800593,0.10888303816318512,0.10424930602312088,0.0046337321400642395,1,16,104.09586143493652,94.58155822753906,9.514303207397461,0.13562560799930776,0.12400973793761484,0.011615870061692915,0.125,0.09375,0.15625,0.5511355112769706,0.00703125,-0.0014423076923076878,0.015104166666666662
7665,16,0.0,16.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47235505655407906,0.4170703259296715,0.05528473062440753,184.38377904891968,183.9234001636505,0.46037888526916504,7.21640287572518,,,,0,0,,,,0.47235505655407906,0.4170703259296715,0.05528473062440753,0.0,0.0,0.0,1.0,0.0,-0.005268429487179495,0.012319711538461526
